This Week,Book Name,Author Name,Last Week,Weeks on List
1,Big Little Lies,Liane Moriarty,.,1
2,The Heist,Daniel Silva,1,3
3,Tom Clancy: Support And Defend,Mark Greaney,3,2
4,The Book Of Life,Deborah Harkness,2,3
5,The Goldfinch,Donna Tartt,5,41
6,Fast Track,Julie Garwood,.,1
7,A Perfect Life,Danielle Steel.,4,2
8,Act Of War,Brad Thor,6,4
9,All The Light We Cannot See,Anthony Doerr,12,13
10,The Silkworm,Robert Galbraith,7,7
11,Invisible,James Patterson and David Ellis,8,6
12,Mr. Mercedes,Stephen King,10,9
13,Magic Breaks,Ilona Andrews,.,1
14,Top Secret Twenty-One,Janet Evanovich,11,7
15,Written In My Own Heart's Blood,Diana Gabaldon,13,8
16,Lucky Us,Amy Bloom,.,1
