This Week,Book Name,Author Name,Last Week,Weeks on List
1,Pageboy,Elliot Page,,1
2,The Wager,David Grann,1,8
3,Outlive,Peter Attia with Bill Gifford,2,11
4,I'm Glad My Mom Died,Jennette McCurdy,3,44
5,The Book of Charlie,David Von Drehle,5,3
6,The Puppeteers,Jason Chaffetz,,1
7,Spare,Prince Harry,4,22
8,The Light We Carry,Michelle Obama,6,30
9,The Daddy Diaries,Andy Cohen,8,5
10,My Friend Anne Frank,Hannah Pick-Goslar with Dina Kraft,,1
11,Burn It Down,Maureen Ryan,,1
12,King: A Life,Jonathan Eig,7,4
13,Greenlights,Matthew McConaughey,10,97
14,What Happened To You?,Bruce D. Perry and Oprah Winfrey,,52
15,"Poverty, By America",Matthew Desmond,9,11
